s.index	Longitude	Latitude	Year	Month	Day	Emergencias	TRI_MEAN	TEM_MAX_MEAN	TEM_MIN_MEAN	PRESIPI_MEAN
3	-78.626575	-1.241341	2014	10	8	1	0.002361111	16	9	0
3	-78.626575	-1.241341	2014	10	16	1	0.001076389	24	9	0
3	-78.626575	-1.241341	2014	12	16	1	0.006909722	24	6	0
3	-78.626575	-1.241341	2014	12	19	1	0.003576389	23	10	4
3	-78.631669	-1.244519	2014	10	11	1	0.0015625	20	11	2
3	-78.629691	-1.246513	2014	10	16	1	0.002708333	24	9	0
3	-78.630862	-1.245402	2014	10	17	1	0.000983796	25	14	13
3	-78.629299	-1.242239	2014	10	18	1	0.013032407	23	12	8
3	-78.62619	-1.239827	2014	10	20	1	0.002650463	20	16	0
3	-78.629859	-1.240988	2014	11	1	1	0.002407407	20	7	7
3	-78.627122	-1.242943	2014	11	1	1	0.00474537	20	7	7
3	-78.626415	-1.243662	2014	11	2	1	0.001493056	20	9	6
3	-78.630019	-1.244601	2014	11	6	1	0.028391204	20	8	6
3	-78.630019	-1.244601	2014	11	24	1	0.005914352	23	7	0
3	-78.630019	-1.244601	2014	11	30	1	0.00662037	25	12	0
3	-78.630019	-1.244601	2014	12	24	1	0.003472222	26	15	0
3	-78.629131	-1.239289	2014	11	6	1	0.001365741	20	8	6
3	-78.628545	-1.243769	2014	11	10	1	0.008020833	18	10	17
3	-78.630197	-1.237893	2014	11	11	1	0.011041667	16	10	29
3	-78.627068	-1.24064	2014	11	13	1	0.034479167	21	12	0
3	-78.627521	-1.239962	2014	11	22	1	0.025439815	20	11	0
3	-78.631993	-1.24372	2014	11	27	1	0.001793981	22	11	0
3	-78.62938	-1.237111	2014	11	29	1	0.003090278	25	10	0
3	-78.627705	-1.243446	2014	12	13	1	0.023981481	23	13	0
3	-78.631037	-1.242042	2014	12	18	1	0.00400463	12	11	0
3	-78.62529	-1.242012	2014	12	22	1	0.004675926	20	8	0
3	-78.628923	-1.244567	2014	12	23	1	0.001018519	8	5	0
3	-78.628629	-1.239883	2014	12	30	1	0.004155093	21	10	2
20	-78.614559	-1.270448	2014	6	1	2	0.01759838	19	9	1
20	-78.614559	-1.270448	2014	6	13	1	0.018333333	23	10	0
20	-78.614559	-1.270448	2014	6	19	1	0.015960648	25	21	0
20	-78.614559	-1.270448	2014	6	26	1	0.003287037	21	12	0
20	-78.614559	-1.270448	2014	6	29	3	0.005111883	26	16	0
20	-78.614559	-1.270448	2014	7	9	1	0.002997685	27	19	0
20	-78.614559	-1.270448	2014	7	11	1	0.006759259	26	20	0
20	-78.614559	-1.270448	2014	7	17	1	0.003217593	26	11	0
20	-78.614559	-1.270448	2014	7	20	1	0.001168981	23	5	0
20	-78.614559	-1.270448	2014	7	23	1	0.002615741	26	6	0
20	-78.614559	-1.270448	2014	7	25	1	0.015150463	24	9	0
20	-78.614559	-1.270448	2014	7	30	1	0.009143519	22	19	0
20	-78.614559	-1.270448	2014	8	2	1	0.006377315	24	8	0
20	-78.614559	-1.270448	2014	8	3	1	0.004490741	24	8	0
20	-78.614559	-1.270448	2014	8	8	1	0.008969907	25	10	0
20	-78.614559	-1.270448	2014	8	17	1	0.002673611	25	10	0
20	-78.614559	-1.270448	2014	8	21	2	0.004820602	26	14	0
20	-78.614559	-1.270448	2014	8	22	1	0.016701389	24	9	0
20	-78.614559	-1.270448	2014	8	24	2	0.006423611	20	8	0
20	-78.614559	-1.270448	2014	8	25	1	0.007152778	17	10	0
20	-78.614559	-1.270448	2014	8	29	1	0.007395833	20	8	0
20	-78.614559	-1.270448	2014	8	30	1	0.008483796	21	8	1
20	-78.614559	-1.270448	2014	8	31	3	0.007349537	26	9	0
20	-78.614559	-1.270448	2014	9	5	1	0.00244213	26	17	0
20	-78.614559	-1.270448	2014	9	9	1	0.0034375	26	23	1
20	-78.614559	-1.270448	2014	9	15	1	0.001226852	20	14	6
20	-78.614559	-1.270448	2014	9	26	2	0.003454861	26	7	1
20	-78.614559	-1.270448	2014	9	27	1	0.005381944	26	7	1
20	-78.614559	-1.270448	2014	10	6	1	0.00837963	9	7	0
20	-78.614559	-1.270448	2014	10	8	1	0.002986111	16	9	0
20	-78.614559	-1.270448	2014	10	19	1	0.006168981	20	12	0
20	-78.614559	-1.270448	2014	10	26	1	0.007650463	21	11	0
20	-78.614559	-1.270448	2014	10	31	1	0.006759259	20	9	5
20	-78.614559	-1.270448	2014	11	3	1	0.003530093	20	10	7
